"","Year","Pick","Name","Team"
"1093",2001,19,"Zach Randolph","Portland Trail Blazers"
"1094",2001,20,"Brendan Haywood","Cleveland Cavaliers"
"1095",2001,21,"Joseph Forte","Boston Celtics"
"1096",2001,22,"Jeryl Sasser","Orlando Magic"
"1097",2001,23,"Brandon Armstrong","Houston Rockets"
"1098",2001,24,"Raul Lopez","Utah Jazz"
"1099",2001,25,"Gerald Wallace","Sacramento Kings"
"1100",2001,26,"Samuel Dalembert","Philadelphia 76ers"
"1101",2001,27,"Jamaal Tinsley","Memphis Grizzlies"
"1102",2001,28,"Tony Parker","San Antonio Spurs"
"1103",2001,29,"Trenton Hassell","Chicago Bulls"
"1104",2001,30,"Gilbert Arenas","Golden State Warriors"
"1105",2001,31,"Omar Cook","Orlando Magic"
"1106",2001,32,"Will Solomon","Memphis Grizzlies"
"1107",2001,33,"Terence Morris","Atlanta Hawks"
"1108",2001,34,"Brian Scalabrine","New Jersey Nets"
"1109",2001,35,"Jeff Trepagnier","Cleveland Cavaliers"
"1110",2001,36,"Damone Brown","Philadelphia 76ers"
"1111",2001,37,"Mehmet Okur","Detroit Pistons"
"1112",2001,38,"Michael Wright","New York Knicks"
"1113",2001,39,"Earl Watson","Seattle SuperSonics"
"1114",2001,40,"Jamison Brewer","Indiana Pacers"
"1115",2001,41,"Bobby Simmons","Seattle SuperSonics"
"1116",2001,42,"Eric Chenowith","New York Knicks"
"1117",2001,43,"Kyle Hill","Dallas Mavericks"
"1118",2001,44,"Sean Lampley","Chicago Bulls"
"1119",2001,45,"Loren Woods","Minnesota Timberwolves"
"1120",2001,46,"Ousmane Cisse","Denver Nuggets"
"1121",2001,47,"Antonis Fotsis","Memphis Grizzlies"
"1122",2001,48,"Ken Johnson","Miami Heat"
"1123",2001,49,"Ruben Boumtje-Boumtje","Portland Trail Blazers"
"1124",2001,50,"Alton Ford","Phoenix Suns"
"1125",2001,51,"Andre Hutson","Milwaukee Bucks"
"1126",2001,52,"Jarron Collins","Utah Jazz"
"1127",2001,53,"Kenny Satterfield","Dallas Mavericks"
"1128",2001,54,"Maurice Jeffers","Sacramento Kings"
"1129",2001,55,"Robertas Javtokas","San Antonio Spurs"
"1130",2001,56,"Alvin Jones","Philadelphia 76ers"
"1131",2001,57,"Bryan Bracey","San Antonio Spurs"
"1132",2000,1,"Kenyon Martin","New Jersey Nets"
"1133",2000,2,"Stromile Swift","Vancouver Grizzlies"
"1134",2000,3,"Darius Miles","Los Angeles Clippers"
"1135",2000,4,"Marcus Fizer","Chicago Bulls"
"1136",2000,5,"Mike Miller","Orlando Magic"
"1137",2000,6,"DerMarr Johnson","Atlanta Hawks"
"1138",2000,7,"Chris Mihm","Chicago Bulls"
"1139",2000,8,"Jamal Crawford","Cleveland Cavaliers"
"1140",2000,9,"Joel Przybilla","Houston Rockets"
"1141",2000,10,"Keyon Dooling","Orlando Magic"
"1142",2000,11,"Jerome Moiso","Boston Celtics"
"1143",2000,12,"Etan Thomas","Dallas Mavericks"
"1144",2000,13,"Courtney Alexander","Orlando Magic"
"1145",2000,14,"Mateen Cleaves","Detroit Pistons"
"1146",2000,15,"Jason Collier","Milwaukee Bucks"
"1147",2000,16,"Hedo Turkoglu","Sacramento Kings"
