X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
144,255,-0.16488799,Detroit Pistons,3.499106333,5,Jon Leuer,"$10,497,319.00 ",2017,Non-rookie,-2.179230577,276,202720,Jon Leuer
145,256,-0.16488799,Detroit Pistons,1.8,5,Josh Smith,"$5,400,000.00 ",2017,Non-rookie,-3.250123837,456,2746,Josh Smith
146,258,-0.16488799,Detroit Pistons,2.222222333,5,Langston Galloway,"$6,666,667.00 ",2017,Non-rookie,0.574879686,138,204038,Langston Galloway
147,260,-0.16488799,Detroit Pistons,0.833333333,5,Reggie Bullock,"$2,500,000.00 ",2017,Non-rookie,0.245639898,92,203493,Reggie Bullock
148,261,-0.16488799,Detroit Pistons,5.333333333,5,Reggie Jackson,"$16,000,000.00 ",2017,Non-rookie,10.19988342,256,202704,Reggie Jackson
149,263,-0.16488799,Detroit Pistons,5.333333333,5,Tobias Harris,"$16,000,000.00 ",2017,Non-rookie,4.061369692,146,202699,Tobias Harris
150,264,-5.179052184,Los Angeles Lakers,0.776217333,5,Andrew Bogut,"$2,328,652.00 ",2017,Non-rookie,-0.136732997,294,101106,Andrew Bogut
151,267,-5.179052184,Los Angeles Lakers,7.54745,5,Brook Lopez,"$22,642,350.00 ",2017,Non-rookie,0.255920758,46,201572,Brook Lopez
152,268,-5.179052184,Los Angeles Lakers,2.526455333,5,Corey Brewer,"$7,579,366.00 ",2017,Non-rookie,-6.191113396,366,201147,Corey Brewer
153,270,-5.179052184,Los Angeles Lakers,3.854166667,5,Jordan Clarkson,"$11,562,500.00 ",2017,Non-rookie,1.2394471,248,203903,Jordan Clarkson
154,273,-5.179052184,Los Angeles Lakers,5.915298,5,Kentavious Caldwell-Pope,"$17,745,894.00 ",2017,Non-rookie,-0.917524447,158,203484,Kentavious Caldwell-Pope
156,276,-5.179052184,Los Angeles Lakers,5.73,5,Luol Deng,"$17,190,000.00 ",2017,Non-rookie,1.761128843,453,2736,Luol Deng
157,280,-1.412858355,Dallas Mavericks,1.467515333,5,Devin Harris,"$4,402,546.00 ",2017,Non-rookie,4.264047536,260,2734,Devin Harris
158,281,-1.412858355,Dallas Mavericks,1.666666667,5,Dirk Nowitzki,"$5,000,000.00 ",2017,Non-rookie,-0.22813839,430,1717,Dirk Nowitzki
159,283,-1.412858355,Dallas Mavericks,3.001041667,5,Dwight Powell,"$9,003,125.00 ",2017,Non-rookie,-2.923317102,68,203939,Dwight Powell
160,285,-1.412858355,Dallas Mavericks,7.704001333,5,Harrison Barnes,"$23,112,004.00 ",2017,Non-rookie,-2.475128861,165,203084,Harrison Barnes
161,288,-1.412858355,Dallas Mavericks,2.007058333,5,Josh McRoberts,"$6,021,175.00 ",2017,Non-rookie,0.076427715,512,201177,Josh McRoberts
162,290,-1.412858355,Dallas Mavericks,1.395866333,5,Nerlens Noel,"$4,187,599.00 ",2017,Non-rookie,-2.06748149,219,203457,Nerlens Noel
163,292,-1.412858355,Dallas Mavericks,5.961392,5,Wesley Matthews,"$17,884,176.00 ",2017,Non-rookie,-4.437513315,67,202083,Wesley Matthews
164,294,-2.742011328,New York Knicks,3.915963333,5,Courtney Lee,"$11,747,890.00 ",2017,Non-rookie,-2.472122791,87,201584,Courtney Lee
165,297,-2.742011328,New York Knicks,6.855600667,5,Enes Kanter,"$20,566,802.00 ",2017,Non-rookie,-2.779447988,177,202683,Enes Kanter
166,299,-2.742011328,New York Knicks,0.776217333,5,Jarrett Jack,"$2,328,652.00 ",2017,Non-rookie,-0.014790557,196,101127,Jarrett Jack
167,300,-2.742011328,New York Knicks,5.921666667,5,Joakim Noah,"$17,765,000.00 ",2017,Non-rookie,-1.813797059,528,201149,Joakim Noah
168,302,-2.742011328,New York Knicks,2.218441667,5,Lance Thomas,"$6,655,325.00 ",2017,Non-rookie,-6.198749689,175,202498,Lance Thomas
169,304,-2.742011328,New York Knicks,0.705651667,5,Michael Beasley,"$2,116,955.00 ",2017,Non-rookie,2.810984078,88,201563,Michael Beasley
170,307,-2.742011328,New York Knicks,0.776217333,5,Ramon Sessions,"$2,328,652.00 ",2017,Non-rookie,-1.825783082,236,201196,Ramon Sessions
171,310,-5.629013734,Brooklyn Nets,6.444166667,5,Allen Crabbe,"$19,332,500.00 ",2017,Non-rookie,0.369911506,98,203459,Allen Crabbe
172,312,-5.629013734,Brooklyn Nets,4.933333333,5,DeMarre Carroll,"$14,800,000.00 ",2017,Non-rookie,0.229556741,184,201960,DeMarre Carroll
173,315,-5.629013734,Brooklyn Nets,4,5,Jeremy Lin,"$12,000,000.00 ",2017,Non-rookie,1.024451967,539,202391,Jeremy Lin
174,317,-5.629013734,Brooklyn Nets,0.569846,5,Quincy Acy,"$1,709,538.00 ",2017,Non-rookie,0.852156433,125,203112,Quincy Acy
175,321,-5.629013734,Brooklyn Nets,5.093333333,5,Timofey Mozgov,"$15,280,000.00 ",2017,Non-rookie,0.814402042,469,202389,Timofey Mozgov
176,322,-5.629013734,Brooklyn Nets,3.041666667,5,Trevor Booker,"$9,125,000.00 ",2017,Non-rookie,-1.234559951,41,202344,Trevor Booker
