,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[31],-0.712,1.257,-3.008,1.682,0.022,0.026,3443.0,1418.0,1.0
x[32],0.543,1.406,-2.045,3.066,0.023,0.044,3843.0,1214.0,1.0
x[33],1.174,2.313,-3.22,5.413,0.039,0.047,3472.0,1415.0,1.0
x[34],-0.317,1.531,-3.374,2.388,0.026,0.041,3381.0,1157.0,1.0
x[35],-2.173,1.294,-4.669,0.148,0.02,0.017,4379.0,1577.0,1.0
x[36],-0.354,1.335,-2.71,2.317,0.022,0.039,3588.0,1087.0,1.01
x[37],0.492,1.81,-2.932,3.783,0.027,0.051,4322.0,1252.0,1.0
x[38],1.441,1.41,-1.303,3.993,0.024,0.025,3604.0,1232.0,1.0
x[39],0.534,1.521,-2.236,3.447,0.026,0.04,3414.0,1107.0,1.0
x[40],0.339,1.437,-2.295,3.196,0.023,0.04,4043.0,1090.0,1.0
x[41],0.751,1.54,-1.928,3.881,0.03,0.038,2713.0,1033.0,1.0
x[42],3.245,1.857,-0.341,6.561,0.031,0.024,3590.0,1309.0,1.0
x[43],0.924,1.418,-1.58,3.719,0.023,0.03,3946.0,1315.0,1.0
x[44],0.313,1.449,-2.325,3.083,0.026,0.033,3123.0,1664.0,1.0
x[45],2.393,2.248,-1.831,6.681,0.037,0.035,3724.0,1545.0,1.0
x[46],-0.046,1.515,-2.918,2.76,0.024,0.037,3887.0,1362.0,1.0
x[47],-2.032,2.209,-6.094,2.135,0.039,0.038,3221.0,1582.0,1.0
x[48],-1.791,1.542,-4.902,0.995,0.028,0.026,2981.0,1485.0,1.0
x[49],0.727,1.474,-2.129,3.476,0.024,0.035,3739.0,1123.0,1.0
x[50],-1.094,1.444,-3.633,1.576,0.025,0.03,3326.0,1324.0,1.0
x[51],2.34,1.721,-0.776,5.538,0.028,0.025,3705.0,1549.0,1.0
x[52],-1.096,2.617,-5.876,3.65,0.044,0.053,3499.0,1646.0,1.0
x[53],0.367,1.406,-2.052,3.177,0.021,0.038,4495.0,1274.0,1.01
x[54],1.439,2.365,-2.918,5.913,0.038,0.048,3868.0,1332.0,1.0
x[55],-0.472,1.116,-2.734,1.391,0.018,0.029,3788.0,1257.0,1.0
x[56],-0.197,1.424,-2.861,2.356,0.022,0.038,4126.0,1320.0,1.0
x[57],-0.395,1.547,-3.402,2.372,0.028,0.038,3001.0,1257.0,1.0
x[58],1.862,1.207,-0.293,4.187,0.02,0.019,3783.0,1366.0,1.0
x[59],4.602,1.727,1.332,7.82,0.029,0.022,3445.0,1492.0,1.0
x[60],2.011,1.124,-0.038,4.257,0.018,0.015,4001.0,1342.0,1.0
x[61],0.228,0.992,-1.526,2.227,0.016,0.025,3816.0,1471.0,1.0
x[62],-0.258,1.156,-2.353,2.021,0.018,0.03,4284.0,1469.0,1.01
x[63],6.528,1.81,3.181,9.926,0.028,0.021,4067.0,1608.0,1.0
x[64],0.779,1.462,-2.179,3.254,0.026,0.033,3192.0,1363.0,1.0
x[65],-1.153,1.883,-4.499,2.348,0.027,0.046,4848.0,1348.0,1.0
x[66],0.854,1.145,-1.221,3.006,0.018,0.023,4107.0,1412.0,1.0
x[67],0.533,0.917,-1.291,2.188,0.015,0.02,3705.0,1376.0,1.0
x[68],1.14,1.115,-0.839,3.303,0.017,0.02,4277.0,1455.0,1.0
x[69],0.844,1.391,-1.808,3.368,0.022,0.034,3871.0,1283.0,1.0
x[70],2.308,1.437,-0.55,4.754,0.023,0.021,3926.0,1420.0,1.0
x[71],1.962,1.291,-0.518,4.341,0.023,0.021,3116.0,1412.0,1.0
x[72],-0.973,1.134,-2.97,1.186,0.019,0.023,3724.0,1056.0,1.0
x[73],2.459,1.272,0.231,4.936,0.021,0.017,3558.0,1592.0,1.0
x[74],-1.622,1.17,-3.771,0.605,0.022,0.021,2956.0,1364.0,1.0
x[75],0.503,1.403,-2.167,3.096,0.024,0.031,3438.0,1296.0,1.01
x[76],0.017,1.479,-2.62,2.962,0.027,0.04,2955.0,1283.0,1.0
x[77],-0.571,1.479,-3.234,2.205,0.024,0.034,3720.0,1213.0,1.0
x[78],-0.293,1.173,-2.515,1.841,0.019,0.028,3750.0,1478.0,1.0
x[79],0.658,1.153,-1.692,2.616,0.02,0.026,3427.0,1391.0,1.0
x[80],0.503,1.788,-2.58,4.157,0.028,0.041,4011.0,1398.0,1.0
x[81],3.894,1.631,0.951,7.021,0.026,0.02,4053.0,1580.0,1.0
x[82],-0.652,1.152,-2.938,1.374,0.019,0.024,3565.0,1533.0,1.0
x[83],-0.978,1.451,-3.71,1.692,0.023,0.033,3839.0,1478.0,1.0
x[84],-0.069,1.192,-2.298,2.138,0.018,0.031,4438.0,1364.0,1.0
x[85],-4.528,2.177,-8.474,-0.29,0.036,0.032,3621.0,1380.0,1.0
x[86],-1.615,1.341,-4.049,0.934,0.024,0.022,3173.0,1344.0,1.0
x[87],-0.43,1.119,-2.554,1.67,0.02,0.027,3077.0,1243.0,1.0
x[88],-1.536,1.78,-4.666,2.079,0.033,0.032,2949.0,1275.0,1.0
x[89],0.008,1.575,-2.917,2.896,0.026,0.052,3716.0,853.0,1.0
x[90],1.76,1.714,-1.38,4.916,0.026,0.03,4323.0,1356.0,1.0
x[91],0.339,0.998,-1.629,2.147,0.015,0.027,4301.0,1153.0,1.0
x[92],0.278,1.026,-1.557,2.258,0.016,0.026,3949.0,1329.0,1.0
x[93],-1.419,1.393,-4.027,1.182,0.022,0.025,4105.0,1345.0,1.0
x[94],0.492,1.05,-1.425,2.514,0.02,0.03,2892.0,1250.0,1.0
x[95],4.616,2.305,0.422,9.019,0.037,0.032,3856.0,1487.0,1.0
x[96],-0.673,1.438,-3.566,1.849,0.027,0.033,2838.0,1506.0,1.0
x[97],-0.152,1.625,-3.025,2.989,0.027,0.041,3530.0,1339.0,1.0
x[98],1.398,1.379,-1.157,3.912,0.025,0.026,3147.0,1219.0,1.01
x[99],-0.532,1.35,-3.306,1.779,0.022,0.031,3833.0,1059.0,1.0
x[100],2.155,1.651,-1.165,5.07,0.029,0.027,3234.0,1718.0,1.0
x[101],1.117,1.113,-0.748,3.39,0.019,0.02,3610.0,1405.0,1.0
x[102],1.392,1.706,-1.885,4.538,0.029,0.033,3359.0,1318.0,1.0
x[103],0.041,1.704,-3.141,3.213,0.026,0.055,4215.0,1081.0,1.0
x[104],0.355,2.246,-3.573,4.853,0.037,0.059,3679.0,1297.0,1.0
x[105],0.655,1.068,-1.299,2.697,0.019,0.023,3141.0,1375.0,1.0
x[106],-0.91,1.499,-3.926,1.675,0.025,0.032,3692.0,1156.0,1.01
x[107],-1.626,1.453,-4.194,1.233,0.026,0.024,3092.0,1301.0,1.0
x[108],-0.432,1.235,-2.647,1.878,0.018,0.029,4592.0,1462.0,1.0
x[109],0.139,1.558,-3.049,2.896,0.026,0.039,3786.0,1418.0,1.0
x[110],-0.86,1.339,-3.16,1.934,0.022,0.026,3739.0,1316.0,1.0
x[111],0.085,1.016,-1.745,2.031,0.016,0.032,4150.0,1127.0,1.0
x[112],4.548,1.795,1.284,7.972,0.027,0.022,4299.0,1510.0,1.0
x[113],0.573,1.032,-1.25,2.606,0.018,0.025,3301.0,1169.0,1.0
x[114],0.102,0.953,-1.615,1.869,0.019,0.025,2677.0,1323.0,1.0
x[115],-3.181,2.972,-9.103,1.88,0.047,0.053,4034.0,1357.0,1.0
x[116],0.986,1.099,-0.945,3.106,0.018,0.023,3551.0,1229.0,1.0
x[117],1.088,1.193,-1.036,3.544,0.021,0.022,3347.0,1485.0,1.0
x[118],1.392,1.563,-1.439,4.544,0.027,0.028,3429.0,1397.0,1.0
x[119],-0.234,1.008,-2.089,1.608,0.017,0.024,3475.0,1623.0,1.0
x[120],-1.272,3.061,-7.421,4.178,0.061,0.074,2537.0,1451.0,1.0
x[121],0.789,0.984,-0.97,2.595,0.015,0.018,4256.0,1614.0,1.0
x[122],-0.058,1.469,-2.893,2.657,0.024,0.043,3877.0,1103.0,1.0
x[123],-0.687,1.663,-3.888,2.382,0.027,0.042,3725.0,1267.0,1.0
x[124],0.386,1.143,-1.808,2.491,0.019,0.028,3765.0,1235.0,1.0
x[125],0.887,1.381,-1.864,3.411,0.023,0.029,3697.0,1398.0,1.0
x[126],0.808,2.342,-3.52,5.084,0.036,0.054,4158.0,1384.0,1.0
x[127],-0.748,1.308,-3.053,1.801,0.02,0.034,4184.0,1271.0,1.0
x[128],-0.956,1.173,-3.038,1.343,0.018,0.022,4092.0,1222.0,1.0
x[129],4.336,1.784,0.734,7.451,0.033,0.026,2986.0,1279.0,1.0
x[130],-2.142,1.393,-4.559,0.595,0.025,0.022,3128.0,1305.0,1.0
x[131],-0.053,1.365,-2.699,2.471,0.022,0.037,4065.0,1250.0,1.0
x[132],0.893,3.239,-4.957,7.033,0.052,0.08,3878.0,1286.0,1.0
x[133],0.064,1.596,-3.094,2.998,0.024,0.046,4354.0,1175.0,1.0
x[134],-3.356,3.013,-9.077,1.927,0.045,0.046,4459.0,1321.0,1.0
x[135],-0.038,1.677,-2.937,3.341,0.028,0.047,3702.0,1347.0,1.0
x[136],-0.133,1.628,-3.168,2.898,0.028,0.045,3374.0,1271.0,1.0
