,rating,Team,mu,sd,name,Contract Value,Year,Type
406,11.46367947,Toronto Raptors ,0.817075,5,Bruno Caboclo,"$2,451,225.00 ",2017,Rookie
407,11.46367947,Toronto Raptors ,0.5484,5,Delon Wright,"$1,645,200.00 ",2017,Rookie
409,11.46367947,Toronto Raptors ,0.437537,5,Fred VanVleet,"$1,312,611.00 ",2017,Rookie
410,11.46367947,Toronto Raptors ,0.94188,5,Jakob Poeltl,"$2,825,640.00 ",2017,Rookie
413,11.46367947,Toronto Raptors ,0.982435,5,Lucas Nogueira,"$2,947,305.00 ",2017,Rookie
414,11.46367947,Toronto Raptors ,0.490460667,5,Norman Powell,"$1,471,382.00 ",2017,Rookie
415,11.46367947,Toronto Raptors ,0.5484,5,OG Anunoby,"$1,645,200.00 ",2017,Rookie
416,11.46367947,Toronto Raptors ,0.437537,5,Pascal Siakam,"$1,312,611.00 ",2017,Rookie
418,6.237947831,Cleveland Cavaliers,0.5484,5,Ante Zizic,"$1,645,200.00 ",2017,Rookie
419,6.237947831,Cleveland Cavaliers,0.880952333,5,Cedi Osman,"$2,642,857.00 ",2017,Rookie
438,0,Atlanta Hawks,0.437537,5,Isaiah Taylor,"$1,312,611.00 ",2017,Rookie
442,0,Atlanta Hawks,0.64564,5,John Collins,"$1,936,920.00 ",2017,Rookie
445,0,Atlanta Hawks,0.833333333,5,Malcolm Delaney,"$2,500,000.00 ",2017,Rookie
447,0,Atlanta Hawks,1.666666667,5,Mike Muscala,"$5,000,000.00 ",2017,Rookie
449,0,Atlanta Hawks,0.437537,5,Nicolas Brussino,"$1,312,611.00 ",2017,Rookie
454,0,Atlanta Hawks,0.016666667,5,Tyler Cavanaugh,"$50,000.00 ",2017,Rookie
455,0,Atlanta Hawks,0.271871667,5,Tyler Dorsey,"$815,615.00 ",2017,Rookie
